english,ekegusii,headword,contributor,date,source,url
The baby threw her food towards the ceiling,Omwana arutete endagera yaye gochia irongo,Irongo,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/irongo
Hand me five plates,ing'ereri chisani isano,Isano,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/isano
The student was told to count to eight,Omworokigwa atebetigwe abare aike isano isato,Isano isato,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/isano-isato
They were given seven strokes of the cane,baitetwe ebiboko isano na ibere,Isano na ibere,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/isano-na-ibere
Maria bought six lemons,Maria agorete amatunda amaroro isano nemo,Isano nemo,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/isano-nemo
My sister-in-law has travelled back home,Kamati yane oiranire inka,Kamati yane,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/kamati-yane
My uncle was told the cancer has caused his weight loss when he visited the hospital,mame achiete nyagitari agatebigwa kansa nero yamoreirie,Kansa,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/kansa
People have developed a liking for the yellow beans recently,abanto rero iga baanchete ching'ende kenagwa,Kenagwa,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/kenagwa
Throw away that cup,tuguta egekombe keria,Keria,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/keria
Mokua is older than Moraa,Mokua n'omonene kobua Moraa,Kobua,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/kobua
"Whether you use the tarmac or all weather road,the distance is the same","Komorabe mwaetere epara y'erami gose eyomoramu,chionsi chireng'aine obotambe",Komorabe,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/komorabe
His digging ain't bad,Korema kwaye Kori bobe,Korema,Zedekiah,"September 3, 2022",lughayangu,https://lughayangu.com/ekegusii/korema
We cooked but the visitors were a no show,twaruga korende bageni mbacheti,Korende,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/korende
You get disgusted when you see someone else vomiting,gokorora omonto onde gakoroka okogaragarigwa,Koroka,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/koroka
They have always been in high spirits from childhood,baanchete goseka korwa barenge abana,Korwa,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/korwa
Those girls have been coughing from yesterday,abaiseke bari bakororire korwa igoro,Korwa,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/korwa
I do not want to argue right now,Tintageti kuomona bono iga,Kuomana,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/kuomana
She washed all the sufurias before starting to prepare the food,magega,Maega,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/maega
Back- furthest from front,Genda magega,Magega,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/magega
Go to the back,#Go,Magega,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/magega
She washed all the sufurias before starting to prepare the food,Maega,Magega,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/magega
I am fine my leader.,Mbuya inde omoisia,Mbuya inde,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/mbuya-inde
"Children of God,how are you?",Abana va nyasaye mbya more?,Mbya more?,Anonymous,"March 7, 2024",lughayangu,https://lughayangu.com/ekegusii/mbya-more
They will come at noon/midday,Nigo barache chinsa chia mobasogati,Mobasogati,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/mobasogati
Mogambi built the houses we just saw,Chinyomba chiria twarora Mogambi oagacha,Mogambi,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/mogambi
Let's meet tomorrow at noon,Tonyorane ankio mogaso gati,Mogaso gati,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/mogaso-gati
Mogotu is ten years old,Mogotu abwate emiaka ikomi,Mogotu,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/mogotu
The second month of the year is called February,Omotienyi o'kabere bw'omwaka okorokwa manuguno obarema,Monuguno obarema,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/monuguno-obarema
My sister moved to her house that she built,Mosubati ominto ang'anyete gochia enyomba yaye aagacha,Mosubati ominto,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/mosubati-ominto
They prepared Ugali and vegetables,barosi obokima na boigo ching'eni,Na boigo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/na-boigo
we went to church and also the market,twagenda ekanisa nabo igo echiro,Nabo igo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nabo-igo
I am yet to finish the assigned work,naisire gokora egasi naegwa,Naisire,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/naisire
I don't have money,Naki mwarare nagi nagita mbuyare.,Naki,Anonymous,"July 21, 2022",lughayangu,https://lughayangu.com/ekegusii/naki
What's up today with this cow,Naki ere rero n'engombe eye,Naki ere,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/naki-ere
"How are you, my leader?",Naki ogeteba Omorai?,Naki ogeteba,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/naki-ogeteba
We woke very early so that we don't miss the morning vehicle,Twoboka egentuko nario toikere egari,Nario,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nario
Why are you fighting?,Nase ki mokorwana?,Nase ki,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nase-ki
who carried my books?,ning'o obogori ebitabu biane?,Ning'o,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ningo
I will beat you badly,Nkogwaka bobe,Nkogwaka,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nkogwaka
You look good my love,Omwanchi nkororete buya,Nkororete buya,Anonymous,"April 13, 2023",lughayangu,https://lughayangu.com/ekegusii/nkororete-buya
"Although I don't have money now, I will not sleep hungry","Nonya timbwati pesa bono, tinkorara nchara",Nonya,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/nonya
They do not hear me calling them even if I shout,Mbarikoigwa ginkobarangeria nonya nekero natiororokire,Nonya nekero,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nonya-nekero
God is good all the time,Nyasaye n'omuya amatuk 'onsi,Nyasaye n'omuya,Anonymous,"March 12, 2024",lughayangu,https://lughayangu.com/ekegusii/nyasaye-nomuya
The chicken eggs fell on the floor,Amagena y'omosu agwete nyomba inse,Nyomba inse,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyomba-inse
The brain plays many roles in the human body,Obongo bogokora egasi enyinge ase omobere o mwanyabanto,Obongo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/obongo
The cow ate the short grass,eng'ombe yariete obonyansi obweng'e,Obonyansi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/obonyansi
She does not have children because she has a miscarriage every time the pregnancy gets to three months.,tabwatie bana ekiagera oborito bokorwa kera engaki aikirie emetinyi eteto,Oborito korwa,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborito-korwa
My grandfather suffers from brucellosis,Sokoro abwate oborwaire bw'amabere,Oborwaire bw'amabere,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwamabere
Typhoid killed her kid,oborwaire bw'amache bwaitete omwana oye,Oborwaire bw'amache,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwamache
Mireri has had athritis for five years,Mireri omenyire n'oborwaire bwechinengo emiaka etano,Oborwaire bwechinengo,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwechinengo
Their dog was killed by rabies,Esese yabo yaitetwe igoro y'oborwaire bw'echisese,Oborwaire bw'echisese,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwechisese
The diabetes medication damaged his kidney,Amariogo y'oborwaire bw'esukari asari ekebocha,Oborwaire bw'esukari,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwesukari
"If diagonised with sleeping sickness , you cannot live the quality of life you want",otoke kobwate oborwaire bw'okorara tokonyara komenya bogima bwao buna otagete,Oborwaire bw'okorara,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwokorara
We have run out of maize flour,Obosi bw'ebituma bwaerire,Obosi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/obosi
Kemuma applied oil to the baby's face which made it shiny,Kemuma a'agete obosio bw'omwana amabuta bokarigenta,Obosio,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/obosio
Do not give yourselves into slavery to sin.,Timosoa obosomba bw'ebibe.,Obosomba,Jackson Onchwari,"May 10, 2026",lughayangu,https://lughayangu.com/ekegusii/obosomba
The love of God is great,Obwanchani bwa nyasae nobonge.,Obwanchani,Calvin omambia,"October 6, 2022",lughayangu,https://lughayangu.com/ekegusii/obwanchani
That girl coughed until she vomited,Omoiseke oria akorora mpaka oroka,Ogokorora,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/ogokorora
The person with pus in their ear was given medicine,omonto obwate amaira ase ogoto kwaye naetwe eriogo,Ogoto,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ogoto
The students were instructed to bow when they see the president,Abaorokigwa bonsi batebigwa batugame bakorora omorai bw'ense,Ogotugama,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/ogotugama
Oira took an oath to only serve God,Oira naria eira yokomobaka Nyasae,Oira,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/oira
The arm is tired,Okoboko kwarosire,Okoboko,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/okoboko
How is it that you look familiar to that man?,Naki yaba nakobwekania n' omomura ori,Okobwekania,Quenton,"May 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwekania
A doctor that has many years of experience makes a good diagnosis,omonyagitari orwaririe emiaka emenge nere omanyete korenga oborwaire buya,Okorengwa,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/okorengwa
What are the symptoms of jaundice?,Naki oborwaire bw'oroima bokororekana?,Okororekana,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/okororekana
He is not a bad person,Tari omonto omobe,Omobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/omobe
Keremensia's body will be buried tomorrow,Omobere o Keremensia mambi okoenigwa,Omobere,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/omobere
white rice is not as expensive as brown rice,omochere omorabu tori rigori buna oyomaraba,Omochere,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omochere
maria cooked for her husband's guests,Maria arugerete abageni b'omogaka oye,Omogaka,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omogaka
Aloe vera is very bitter medicine,omogaka n'eriogo riroro,Omogaka,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omogaka
The leader has come,Omogambi ochire,Omogambi,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/omogambi
The chief was called to settle a dispute,Omogambi arangeretigwe agambe ekina,Omogambi,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/omogambi
The cooking stick broke while preparing ugali,Omogango obunegete gakorosia obokima,Omogango,Anonymous,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omogango
"The wooden cooking stick I was using, has broken at the middle.",Omogango nare korugera obunekire Gati gati,Omogango,Anonymous,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omogango
Have some tea with bread,Kanyu echai na omogate,Omogate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/omogate
The african baobab is big,omogumo ore omonene,Omogumo,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/omogumo
They have been instructed to be accompanied by a parent when reporting back to school,Batebigwa bagende n'omoibori bakoirana esukuru,Omoibori,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omoibori
That girl is dancing,Omoiseke oria agotenga,Omoiseke,Zedekiah,"August 24, 2022",lughayangu,https://lughayangu.com/ekegusii/omoiseke
Only one girl passed the just concluded exams,omoiseke oyomo bweka oetete amatemu akoretwe y'omoerio,Omoiseke,Zedekiah,"August 24, 2022",lughayangu,https://lughayangu.com/ekegusii/omoiseke
This lad is nice,Omoisia oyo nomuya,omoisia,robertny,"July 14, 2019",lughayangu,https://lughayangu.com/ekegusii/omoisia
A Killer is a bad person,Omoiti nomonto omobe,Omoiti,Davis Omari,"May 4, 2023",lughayangu,https://lughayangu.com/ekegusii/omoiti
Most people rest on Sunday,Abanto abange bakotimoka omokubio,Omokubio,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/omokubio
The boy that was herding the cows has not returned,Omomora ogenda korisia chimg'ombe tarairana,Omomura,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omomura
The boy has gone there,Omomura ochire igarii,Omomura,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omomura
The house was painted a purple colour,enyomba yaye yaagetwe erangi emonyinga,Omonyinga,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omonyinga
our leader informed us that we could not all go visit the patient because he had been moved to a hospital that was far away,twatebetigwe n'omorai titokonyara kogenda twensi korora omorwaire ekiagera ang'anyetigwe gochia enyagitari yende ere are,Omorai,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omorai
Hunger was brought about by the drought that spoilt all the food in the farms,Enchara yaretwa n'omorakera osari endagera mogondo,Omorakera,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omorakera
The preacher refused to eat beef,Omorandi aangete koria enyama y'engombe,Omorandi,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omorandi
A preacher from Baptist church will preach to us next Sunday,Omorandia korwa ekanisa ya Baptist nere oratoranderie Jumapili egocha,Omorandia,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/omorandia
the thorn apple plant has grown along the road,omoratora oamire para onsi,Omoratora,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omoratora
All the leaders urged the citizens to live in peace during the electioneering period,Abarai bonsi basabete abanto bamenye n'omorembe chingaki echi chiechikura,Omorembe,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omorembe
Fire lilies are used as traditional medicine to treat babies,omorero bw'enyangau n'eriogo ri'abana,Omorero bw'enyangau,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omorero-bwenyangau
Maria was awarded a sword at work,Maria aegwa omoro bw'esegi ase egasi yaye,Omoro bw'esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omoro-bwesegi
He was completely fatigued after completing tilling the land,arenge omoroso bweka ekero akorete korema,Omoroso,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/omoroso
The patient died yesterday evening,Omorwaire asirete igoro magoroba,Omorwaire,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omorwaire
Luka is afraid of speaking infront of a crowd,luka aoboete gokwana bosio bw'omosangererekano,Omosangererekano,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omosangererekano
I was served a bone that had bone marrow,Nabekeretwe riuga ribwate omoseto,Omoseto,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/omoseto
I have a policeman who does not remove his cap when he is working,Nimbwate omosigari otari korusia gobia kagokora emeremo.,omosigari,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/omosigari
It's me who planted that Erythrina abyssinica in the garden,Ninche nasimegete omotembe oyu mogondo,Omotembe,Evanson Onyinkx,"April 3, 2024",lughayangu,https://lughayangu.com/ekegusii/omotembe
They ate jute mallow with ugali,bariete omotere n'obokima,Omotere,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omotere
I got smooth girl,Nanyorete omoiseke omoterere,Omoterere,Anonymous,"February 2, 2023",lughayangu,https://lughayangu.com/ekegusii/omoterere
There is a full moon today.,rero omotienyi ore omogima,Omotienyi,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omotienyi
It was so windy that the roofs were blown off houses,Omwaga orenge omonge okabogoria ebirama bi'abanto,Omwaga,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omwaga
The student passed all the exams,OMworokigwa aetete amatemu aye onsi,Omworokigwa,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omworokigwa
Put on some heavy clothing if you do not want to be cold,beka chianga chindito onye totageti koigwa bokendu,Onye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/onye
he will not give me food unless I clear my debt,tarikong'a ndagera onye tindamwakana edeni,Onye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/onye
take this patient to the hospital otherwise she will die,ira omorwaire oyo nyagitari onya taribo ngosira are,Onye taribo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/onye-taribo
The spleen helps the body in filtering the blood,oroima rogokonya omobere gosibi amanyinga,Oroima,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/oroima
Some babies are born with jaundice,ebing'werere binde bikoiborwa n'oroima,Oroima,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/oroima
Her husband sent her away after polio disabled their son,omogaka oye amosereti ekero porio yaremaria omwana obo omomura,Porio,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/porio
"When he was taken to the hospiatl,they gave him an injection to bring the fever down before proceeding with treatment",ekero airetwe nyagitari atongetwe eriogo gokei riberera nario bachake komorwaria,Riberera,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/riberera
A mango was thrown away from one bunch,Riembe erimo nditugutetwe korwa egetuse ekemo,Riembe,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/riembe
I bought a mango,nagorete riembe,Riembe,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/riembe
My mom removed a big tick from the and threw it in the fire,Mama arusetie rigecha rinene ase eng'ombe akariruta riko,Rigecha,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rigecha
I found a very big tick on the cow's head,Nanyorete rigecha rinene ase omotwe bw'eng'ombe,Rigecha,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rigecha
The first day of the month of April is when people prank one another,Rituko ritang'ani ri'omotienyi o rigwata nario abanto bakong'ainana,Rigwata,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/rigwata
Grandmother made a rope using sisal,magokoro aroseti omogoye bwe rikonge,Rikonge,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rikonge
The kids have the common cold,abana bonsi babwate rikuba,Rikuba,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/rikuba
A lot of stress has caused her ulcers,Ebirengeri ebinge biamoreteire rikwarimo,Rikwarimo,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/rikwarimo
The kidney beans grew near the bananas,rinoe riama ange ne ritoke,Rinoe,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rinoe
Maisiba found a large centipede while tilling the land,Maisiba anyorete rinyamara rinene ekero arenge korema,Rinyamara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rinyamara
a millipede has many legs,Rinyamara ribwate amagoro amange,Rinyamara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rinyamara
Momanyi's stomach got swollen after eating a raw sweet potato,Momanyi ariete rirabwoni ribese enda ekaresana,Rirabwoni,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rirabwoni
The young man that was carrying the bricks has complained that his shoulder hurts,Omosae orenge kobogoria amatobori otebire rireko riaye riaigure bororo,Rireko,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rireko
That old man has trouble walking because of the boil on his knee,Omogaka oria osinyiru gotara ekiagera abwate ekenyabororo ase riru riaye,Riru,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/riru
A cobra is a snake feared by all,Rirubi N'engiti eoboirwe na bonsi,Rirubi,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/rirubi
It was so foggy when we woke up in the morning that visibility was limited,Ekero twaboka mambi rirumbe riarenge isiko otanyare korora are,Rirumbe,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/rirumbe
Cholera is a dangerous disease,risabeso n'oborwaire obobe mono,Risabeso,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/risabeso
A nail scratched that girl's skin,Omosumari n'oarete risanku ri'omoiseke oria,Risanku,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/risanku
She was instructed to an infusion of ground stinging nettle to cleanse her blood,atebetigwe anywe rise risibi amanyinga,Rise,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rise
they gave them stinging nettle as vegatables,babaete rise buna chingeni,Rise,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rise
The Abagusii that border the Maasai own spears,Abagusii bamenyete ange n'abamanyi babwate amatimo,Ritimo,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/ritimo
The big stem produced a lot of timber,ritina rinene riaruseti chibao chinyinge,Ritina,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ritina
She gave everyone one passion,abagerete kera omonto ritindogoro erimo,Ritindogoro,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ritindogoro
A banana leaf is big,rito rieritoke rire rinene,Rito,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rito
She added lemon to the porridge,abegete ritunda riroro ase erongori,Ritunda riroro,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ritunda-riroro
My father loves reading every morning,Tata aanchete gosoma kere emambia,Tata,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/tata
My father-in-law is diabetic,Tata biara abwate oborwaire bw'esukari,Tata biara,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/tata-biara
The boys were circumcised on Friday,Abamura basaretwe tichi gatano,Tichi gatano,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/tichi-gatano
We were rained on on tuesday,embura yatotwererete tichi kabere,Tichi kabere,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/tichi-kabere
Maria and Moraa's birthdays are in September,Amatuko y'okoiborwa ya Maria na Moraa are tureti ya kebaki,Tureti ya kebaki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/tureti-ya-kebaki
Their work is difficult,Egasi yabo n'enkong'u,Yabo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yabo
Our house has been constructed,Enyomba yaito yakorire kwagachwa,Yaito,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yaito
She/he said that they should buy her/his red pen,atebete bamogorere ekeramu yaye embariri,Yaye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yaye
She bought only one tomato,agora enyanya eyemo yoka,Yoka,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yoka
