ref,book,chapter,verse,english,ekegusii,swahili,source,eng_words,eke_words,swa_words,story_id,page,needs_review
2KI 13:16,2KI,13.0,16.0,"Then Elisha said to the king of Israel, “Put your hand on the bow.” So the king put his hand on the bow, and Elisha put his hands on the king’s hands.","Naende akamoteebia: “Ng’usa obota bwao!” Nere akabong’usa. Na Elisha akabeeka amaboko aye ase amaboko ’omorwoti oria,","Elisha akamwambia mfalme wa Israeli, “Shika upinde mikononi mwako.” Alipokwisha kuichukua, Elisha akaweka mikono yake juu ya mikono ya mfalme.",bible_ebible,32.0,16.0,20.0,,,
2KI 13:17,2KI,13.0,17.0,"“Open the east window,” said Elisha. So he opened it and Elisha said, “Shoot!” So he shot. And Elisha declared: “This is the LORD’s arrow of victory, the arrow of victory over Aram, for you shall strike the Arameans in Aphek until you have put an end to them.”","akamoteebia, “Igora ekebao kerochie moocha!” Yehoasi agakeigora. Erio Elisha akamoteebia, “Rasa!” Nere akarasa. Elisha agakwana, “Omogwe bw’obobui Omonene. Omogwe bw’obobui igoro y’Abasiiria. Aye norwanie Abasiiria agwo Afeki goika obasirie kegima.”","Elisha akasema, “Fungua dirisha la mashariki,” naye akalifungua. Elisha akasema, “Piga mshale!” Naye akapiga mshale. Elisha akasema, “Mshale wa ushindi wa Bwana, mshale wa ushindi juu ya Aramu! Utawaangamiza Waaramu kabisa huko Afeki.”",bible_ebible,49.0,30.0,33.0,,,
2KI 13:18,2KI,13.0,18.0,"Then Elisha said, “Take the arrows!” So he took them, and Elisha said to the king of Israel, “Strike the ground!” So he struck the ground three times and stopped.","Erio Elisha agateebia omorwoti bw’Abaisraeli: “Imokia emegwe!” Nere akayeimokia. Naende akamoteebia: “Rasa inse ase riroba!” Nere akarasa inse ase riroba ara gatato, agatiga.","Kisha akasema, “Chukua mishale,” naye mfalme akaichukua. Elisha akamwambia, “Piga ardhi kwa hiyo mishale.” Akaipiga mara tatu, halafu akaacha.",bible_ebible,30.0,23.0,19.0,,,
2KI 13:19,2KI,13.0,19.0,"But the man of God was angry with him and said, “You should have struck the ground five or six times. Then you would have struck down Aram until you had put an end to it. But now you will strike down Aram only three times.”","Omonto oria o Nyasae akaba nendamwamu asare, akamoteebia, “Nigo yagwenerete orase inse ara gatano, gose ara gatano na rimo; kware gokora igo nanga nigo kwabua Abasiiria na kobasiria kegima, korende bono nigo orabaake ara gatato rioka”.","Mtu wa Mungu akamkasirikia na akasema, “Ungepiga chini mara tano au sita, ndipo ungeishinda Aramu na kuiangamiza kabisa. Lakini sasa utaishinda mara tatu tu.”",bible_ebible,46.0,36.0,24.0,,,
2KI 13:2,2KI,13.0,2.0,And he did evil in the sight of the LORD and followed the sins that Jeroboam son of Nebat had caused Israel to commit; he did not turn away from them.,"Ere agakora ayare amabe ase obosio bw’Omonene; akabwatia chingencho chia Yeroboamu, mosinto o Nebati, ase ogokora ebibe biria ere akorete akagera Abaisraeli bagakora ebibe; teatananete korwa ase birobio.","Akafanya maovu machoni pa Bwana kwa kufuata dhambi za Yeroboamu mwana wa Nebati, ambazo alikuwa amesababisha Israeli kuzitenda, na wala hakuziacha.",bible_ebible,31.0,28.0,21.0,,,
2KI 13:20,2KI,13.0,20.0,And Elisha died and was buried. Now the Moabite raiders used to come into the land every spring.,"Na Elisha agakwa, agatindekwa. Bono ebiombe bi’Abamoabu bikaba bigocha ase ense eria ase omochakano bwa kera omwaka.","Elisha akafa, nao wakamzika. Vikosi vya Wamoabu vilikuwa vinashambulia nchi kwa vita kila mwaka wakati wa vuli.",bible_ebible,18.0,17.0,17.0,,,
2KI 13:21,2KI,13.0,21.0,"Once, as the Israelites were burying a man, suddenly they saw a band of raiders, so they threw the man’s body into Elisha’s tomb. And as soon as his body touched the bones of Elisha, the man was revived and stood up on his feet.","Ekaba ekero omonto oyomo akwete arenge gotindekwa, ekeombe ekemo kia biria kegacha, na abanto babogoretie omobere oria, bakayoruta ase oboina bw’Elisha. Ekero ogweteo ogakuna amauga ’Elisha, okaboka na koba moyo, agatenena namagoro aye. Esegi egati y’Abaisraeli na Abasiiria","Ikawa Waisraeli fulani walipokuwa wanamzika mtu, ghafula wakaona kikosi cha washambuliaji, basi wakaitupa ile maiti ya yule mtu ndani ya kaburi la Elisha. Wakati ile maiti ilipogusa mifupa ya Elisha, yule mtu akafufuka na kusimama kwa miguu yake.",bible_ebible,45.0,38.0,38.0,,,
2KI 13:22,2KI,13.0,22.0,And Hazael king of Aram oppressed Israel throughout the reign of Jehoahaz.,"Hasaeli, omorwoti bw’Abasiiria, akaba ogochanda Abaisraeli ase amatuko onsi ay’okogaamba kwa Yehoahasi.",Hazaeli mfalme wa Aramu aliwatesa Israeli wakati wote wa utawala wa Yehoahazi.,bible_ebible,12.0,12.0,12.0,,,
2KI 13:23,2KI,13.0,23.0,"But the LORD was gracious to Israel and had compassion on them, and He turned toward them because of His covenant with Abraham, Isaac, and Jacob. And to this day, the LORD has been unwilling to destroy them or cast them from His presence.","Korende Omonene nigo arenge nobwanchani ase bare, na abarorerete amaabera, akabairanera ase engencho y’okobwatana kw’ogotianania akorete na Aburaamu, na Isaka, na Yakobo, na igo tabasiretie. Tabatugutete korwa ase obosio bwaye nonya ngoika reero iga.","Lakini Bwana akawarehemu na akawahurumia, akaonyesha kujishughulisha nao kwa sababu ya Agano lake na Abrahamu, Isaki na Yakobo. Hadi leo, hajawaangamiza wala kuwafukuza mbele zake.",bible_ebible,44.0,34.0,25.0,,,
2KI 13:24,2KI,13.0,24.0,"When Hazael king of Aram died, his son Ben-hadad reigned in his place.","Ekero Hasaeli, omorwoti bw’Abasiiria, akwete, Beni‐Hadadi, omwana oye omomura, akaba okogaamba ase ribaga riaye.","Hazaeli mfalme wa Shamu akafa, naye Ben-Hadadi mwanawe akawa mfalme baada yake.",bible_ebible,13.0,14.0,12.0,,,
2KI 13:25,2KI,13.0,25.0,"Then Jehoash son of Jehoahaz took back from Ben-hadad son of Hazael the cities that Hazael had taken in battle from his father Jehoahaz. Jehoash defeated Ben-hadad three times, and so recovered the cities of Israel.","Erio Yehoasi, mosinto o Yehoahasi, akaira naende korwa ase Beni‐Hadadi, mosinto o Hasaeli, emechie eyio ere konya airire korwa ase Yehoahasi ise ekero gi’esegi. Yehoasi akabua Beni‐Hadadi ara gatato, akairania emechie y’Abaisraeli.","Kisha Yehoashi mwana wa Yehoahazi akateka tena kutoka kwa Ben-Hadadi mwana wa Hazaeli ile miji aliyokuwa ameitwaa kwa vita kutoka kwa baba yake Yehoahazi. Yehoashi alimshinda mara tatu, hivyo akaweza kuiteka tena ile miji ya Waisraeli.",bible_ebible,36.0,32.0,36.0,,,
2KI 13:3,2KI,13.0,3.0,"So the anger of the LORD burned against Israel, and He delivered them continually into the hands of Hazael king of Aram and his son Ben-hadad.","Omonene akaba nendamwamu enene ase Abaisraeli, na ekero ase ekero akaba okobabeeka ase okoboko kwa Hasaeli, omorwoti bw’Abasiiria, na ase okwa Beni‐Hadadi, mosinto o Hasaeli.","Kwa hiyo hasira ya Bwana ikawaka dhidi ya Israeli na kwa muda mrefu akawaweka chini ya utawala wa Hazaeli mfalme wa Aramu, na Ben-Hadadi mwanawe.",bible_ebible,26.0,25.0,25.0,,,
2KI 13:4,2KI,13.0,4.0,"Then Jehoahaz sought the favor of the LORD, and the LORD listened to him because He saw the oppression that the king of Aram had inflicted on Israel.","Erio Yehoahasi agasaba Omonene, n’Omonene akamoigwa, ekiagera aroche ogochandwa kw’Abaisraeli, buna omorwoti bw’Abasiiria abachandete.","Ndipo Yehoahazi akamsihi Bwana rehema, naye Bwana akamsikiliza, kwa maana aliona jinsi mfalme wa Aramu alivyokuwa akiwatesa Israeli vikali.",bible_ebible,28.0,14.0,19.0,,,
2KI 13:5,2KI,13.0,5.0,"So the LORD gave Israel a deliverer, and they escaped the power of the Arameans. Then the people of Israel lived in their own homes as they had before.","Ase ayio Omonene akaa Abaisraeli omotooria, obatooretie korwa ase amaboko ’Abasiiria. Magega y’ayio Abaisraeli bakagenderera komenya ase chinka chiabo buna agwo ritang’ani.","Bwana akamtoa mwokozi kwa ajili ya Israeli, nao wakaokoka kutoka kwenye mamlaka ya Aramu. Hivyo Waisraeli wakaishi katika nyumba zao wenyewe kama ilivyokuwa hapo awali.",bible_ebible,29.0,22.0,25.0,,,
2KI 13:6,2KI,13.0,6.0,"Nevertheless, they did not turn away from the sins that the house of Jeroboam had caused Israel to commit, but they continued to walk in them. The Asherah pole even remained standing in Samaria.","Korende nonya naboigo, tibeatananete korwa ase ebibe bi’enyomba ya Yeroboamu, biria ere akorete akagera Abaisraeli bagakora ebibe, korende bakaba bakogenderera kobikora. Boigo omote bw’Asera, enyasae eria enkuungu, ogatigara agwo Samaria.","Lakini hawakuziacha dhambi za nyumba ya Yeroboamu, ambazo alisababisha Israeli kuzitenda, bali wakaendelea kuzitenda. Nguzo ya Ashera pia iliendelea kusimama katika Samaria.",bible_ebible,34.0,30.0,22.0,,,
2KI 13:7,2KI,13.0,7.0,"Jehoahaz had no army left, except fifty horsemen, ten chariots, and ten thousand foot soldiers, because the king of Aram had destroyed them and made them like the dust at threshing.","Yehoahasi tatigareretigwe abasikari otatiga abariini chibarasi emerongo etano, ne chigari ikomi, na abanto baarenge gotaara namagoro chilifu ikomi, ekiagera omorwoti bw’Abasiiria aitete abanto bonsi bakaba buna orotu rw’ekeooreri rogotiringwa.","Hapakubaki kitu chochote katika jeshi la Yehoahazi isipokuwa wapanda farasi hamsini, magari kumi ya vita na askari wa miguu elfu kumi, kwa kuwa mfalme wa Aramu alikuwa amewaangamiza hao wengine na kuwafanya kama mavumbi wakati wa kupura nafaka.",bible_ebible,31.0,29.0,38.0,,,
2KI 13:8,2KI,13.0,8.0,"As for the rest of the acts of Jehoahaz, along with all his accomplishments and his might, are they not written in the Book of the Chronicles of the Kings of Israel?","Bono amang’ana ande onsi igoro ya Yehoahasi, na aya onsi akorete, na okobua kwaye, nigo ariikire ase Egetabu ki’ogokora kw’Abarwoti b’Abaisraeli.","Matukio mengine ya utawala wa Yehoahazi yote aliyoyafanya na mafanikio yake, je, hayakuandikwa katika kitabu cha kumbukumbu za wafalme wa Israeli?",bible_ebible,32.0,21.0,21.0,,,
2KI 13:9,2KI,13.0,9.0,And Jehoahaz rested with his fathers and was buried in Samaria. And his son Jehoash reigned in his place. Jehoash Reigns in Israel,"Yehoahasi akaraara ase chisokoro chiaye chiararete, agatindekwa agwo Samaria, na Yehoasi, omwana oye omomura, akaba okogaamba ase ribaga riaye. Yehoasi omorwoti bw’Abaisraeli","Yehoahazi akalala pamoja na baba zake, akazikwa huko Samaria. Naye Yehoashi mwanawe akawa mfalme baada yake. Yehoashi Mfalme Wa Israeli",bible_ebible,23.0,22.0,20.0,,,
2KI 14:1,2KI,14.0,1.0,"In the second year of the reign of Jehoash son of Jehoahaz over Israel, Amaziah son of Joash became king of Judah.","Ase omwaka o kabere ase okogaamba kwa Yehoasi, mosinto o Yehoahasi, omorwoti bw’Abaisraeli, Amasia, mosinto o Yoashi, omorwoti bw’Abayuda, agachaaka kogamba.","Katika mwaka wa pili wa utawala wa Yehoashi mwana wa Yehoahazi mfalme wa Israeli, Amazia mwana wa Yoashi mfalme wa Yuda alianza kutawala.",bible_ebible,22.0,21.0,23.0,,,
2KI 14:10,2KI,14.0,10.0,"You have indeed defeated Edom, and your heart has become proud. Glory in that and stay at home. Why should you stir up trouble so that you fall—you and Judah with you?”","Ekero kwabuire Abaedomu kwaenenire ase enkoro yao. Isaneka nobonene obwo, naende beera inka bwoo. Nase ki ogotubora emechando ebaise kogera ogwe aye amo n’Abayuda?”","Hakika umeishinda Edomu, na sasa unajivuna. Jisifu katika ushindi wako, lakini kaa nyumbani kwako! Kwa nini unachokoza na kujiletea anguko lako mwenyewe na la Yuda pia?”",bible_ebible,32.0,24.0,26.0,,,
2KI 14:11,2KI,14.0,11.0,"But Amaziah would not listen, and Jehoash king of Israel advanced. He and King Amaziah of Judah faced each other at Beth-shemesh in Judah.","Korende Amasia tanchete gotegerera. Ase ayio Yehoasi, omorwoti bw’Abaisraeli, akagenda koumerana nere, na igo ere na Amasia, omorwoti bw’Abayuda, bakarigererania obosio ase obosio ase okorwana esegi agwo Beti‐Semesi, omochie bw’Abayuda.","Hata hivyo, Amazia hakusikia, hivyo Yehoashi mfalme wa Israeli akashambulia. Yeye na Amazia mfalme wa Yuda wakakutana uso kwa uso huko Beth-Shemeshi katika Yuda.",bible_ebible,24.0,30.0,24.0,,,
2KI 14:12,2KI,14.0,12.0,"And Judah was routed before Israel, and every man fled to his home.","Abayuda bakabugwa n’Abaisraeli, bagatama, kera omonto gochia ase enka yaye.","Yuda ikashindwa na Israeli, na kila mtu akakimbilia nyumbani kwake.",bible_ebible,13.0,10.0,10.0,,,
2KI 14:13,2KI,14.0,13.0,"There at Beth-shemesh, Jehoash king of Israel captured Amaziah king of Judah, the son of Joash, the son of Ahaziah. Then Jehoash went to Jerusalem and broke down the wall of Jerusalem from the Ephraim Gate to the Corner Gate—a section of four hundred cubits.","Yehoasi, omorwoti bw’Abaisraeli, akabwatera Amasia, omorwoti bw’Abayuda, agwo Beti‐Semesi. Amasia nigo arenge mosinto o Yoashi bw’Ahasia. Yehoasi, omorwoti bw’Abaisraeli, akagenda Yerusalemu, agatagora orwaki rw’aroro ase obotambe bw’amaboko amagana ane, korwa Egeita gi’Efraimu goika Egeita gi’Ekoona.","Yehoashi mfalme wa Israeli akamteka Amazia mfalme wa Yuda, mwana wa Yoashi, mwana wa Ahazia, huko Beth-Shemeshi. Kisha Yehoashi akaenda Yerusalemu na kuubomoa ukuta wa Yerusalemu kuanzia Lango la Efraimu hadi Lango la Pembeni, sehemu yenye urefu wa kama dhiraa 400.",bible_ebible,45.0,35.0,41.0,,,
2KI 14:14,2KI,14.0,14.0,"He took all the gold and silver and all the articles found in the house of the LORD and in the treasuries of the royal palace, as well as some hostages. Then he returned to Samaria. Jeroboam II Succeeds Jehoash in Israel","Akaira chitaabu chionsi, ne chifeta, na ebikorero bionsi bianyorekanete ase enyomba y’Omonene, na ase chikungo chi’enyomba y’omorwoti, agoosa nabaanto abaarengeo. Erio akairana Samaria.",Akachukua dhahabu yote na fedha na vyombo vyote vilivyopatikana ndani ya Hekalu la Bwana na katika hazina zote za jumba la mfalme. Akachukua pia mateka na akarudi Samaria.,bible_ebible,42.0,23.0,28.0,,,
2KI 14:15,2KI,14.0,15.0,"As for the rest of the acts of Jehoash, along with his accomplishments, his might, and how he waged war against Amaziah king of Judah, are they not written in the Book of the Chronicles of the Kings of Israel?","Bono amang’ana ande onsi Yehoasi akorete, na okobua kwaye, na buna arwanete esegi n’Amasia, omorwoti bw’Abayuda, nigo ariikire ase Egetabu ki’ogokora kw’Abarwoti b’Abaisraeli.","Matukio mengine ya utawala wa Yehoashi, aliyoyafanya na mafanikio yake, pamoja na vita vyake dhidi ya Amazia mfalme wa Yuda, je, hayakuandikwa katika kitabu cha kumbukumbu za wafalme wa Israeli?",bible_ebible,40.0,23.0,30.0,,,
2KI 14:16,2KI,14.0,16.0,And Jehoash rested with his fathers and was buried in Samaria with the kings of Israel. And his son Jeroboam reigned in his place. The Death of Amaziah (2 Chronicles 25:25–28),"Yehoasi akaraara ase chisokoro chiaye chiararete, agatindekwa agwo Samaria ase abarwoti b’Abaisraeli batindegetwe, na Yeroboamu, omwana oye omomura, akaba okogaamba ase ribaga riaye. Ogokwa kw’Amasia omorwoti bw’Abayuda (2 Amg 25:25-28)","Yehoashi akalala pamoja na baba zake, akazikwa Samaria pamoja na wafalme wa Israeli, naye Yeroboamu mwanawe akawa mfalme baada yake.",bible_ebible,31.0,30.0,20.0,,,
2KI 14:17,2KI,14.0,17.0,Amaziah son of Joash king of Judah lived for fifteen years after the death of Joash son of Jehoahaz king of Israel.,"Amasia, mosinto o Yoashi, omorwoti bw’Abayuda, akagenderera koba moyo emiaka ikomi na etano magega y’ogokwa kwa Yehoasi, mosinto o Yehoahasi, omorwoti bw’Abaisraeli.",Amazia mwana wa Yoashi mfalme wa Yuda aliishi miaka kumi na mitano baada ya kifo cha Yehoashi mwana wa Yehoahazi mfalme wa Israeli.,bible_ebible,22.0,22.0,23.0,,,
2KI 14:18,2KI,14.0,18.0,"As for the rest of the acts of Amaziah, are they not written in the Book of the Chronicles of the Kings of Judah?",Bono amang’ana ande onsi igoro y’Amasia nigo ariikire ase Egetabu ki’ogokora kw’Abarwoti b’Abayuda.,"Matukio mengine ya utawala wa Amazia, je, hayakuandikwa katika kitabu cha kumbukumbu za wafalme wa Yuda?",bible_ebible,24.0,13.0,16.0,,,
2KI 14:19,2KI,14.0,19.0,"And conspirators plotted against Amaziah in Jerusalem, and he fled to Lachish. But men were sent after him to Lachish, and they killed him there.","Abanto bagakora omooroberio agwo Yerusalemu bw’ogoita Amasia, korende ere agatama gochia Lakisi. Abanto bagatomwa gochia Lakisi, bakamoitera aroro.","Wakafanya shauri baya dhidi ya Amazia huko Yerusalemu, naye akakimbilia Lakishi, lakini wakawatuma watu wamfuatilie huko Lakishi, nao wakamuulia huko.",bible_ebible,25.0,18.0,20.0,,,
2KI 14:2,2KI,14.0,2.0,"He was twenty-five years old when he became king, and he reigned in Jerusalem twenty-nine years. His mother’s name was Jehoaddan; she was from Jerusalem.","Ere nigo arenge nemiaka emerongo ebere na etano ekero achagete kogamba, na akagaamba emiaka emerongo ebere na kianda, agwo Yerusalemu. Ng’ina nigo arenge korokwa Yehoadini o Yerusalemu.","Alikuwa na umri wa miaka ishirini na mitano alipoanza kutawala, naye akatawala huko Yerusalemu kwa miaka ishirini na tisa. Mama yake aliitwa Yehoadani, kutoka Yerusalemu.",bible_ebible,25.0,27.0,25.0,,,
2KI 14:20,2KI,14.0,20.0,They carried him back on horses and buried him in Jerusalem with his fathers in the City of David. Azariah Succeeds Amaziah in Judah (2 Chronicles 26:1–2),"Bakabogoria omobere oye ne chibarasi, bakayoira Yerusalemu, bakayotindeka aroro ase chisokoro chiaye chiatindegetwe, ase Omochie o Daudi.",Akarudishwa kwa farasi na akazikwa huko Yerusalemu pamoja na baba zake katika Mji wa Daudi.,bible_ebible,27.0,17.0,15.0,,,
2KI 14:21,2KI,14.0,21.0,"Then all the people of Judah took Azariah, who was sixteen years old, and made him king in place of his father Amaziah.",Erio Abayuda bonsi bakabeeka Asaria akaba omorwoti ribaga ri’Amasia ise. Asaria nigo arenge nemiaka ikomi na etano nomo ekero keria.,"Kisha watu wote wa Yuda wakamchukua Azaria aliyekuwa na umri wa miaka kumi na sita, na kumfanya mfalme mahali pa baba yake Amazia.",bible_ebible,23.0,20.0,23.0,,,
2KI 14:22,2KI,14.0,22.0,Azariah was the one who rebuilt Elath and restored it to Judah after King Amaziah rested with his fathers. Jeroboam II Reigns in Israel,"Ekero Amasia, omorwoti araire ase chisokoro chiaye chiaraarete, Asaria akaagacha Elati, naende akayoirania ase Abayuda. Yeroboamu o kabere omorwoti bw’Abaisraeli",Ndiye aliijenga tena Elathi na kuirudisha kwa Yuda baada ya Amazia kulala pamoja na baba zake. Yeroboamu Wa Pili Mfalme Wa Israeli,bible_ebible,24.0,20.0,22.0,,,
2KI 14:23,2KI,14.0,23.0,"In the fifteenth year of the reign of Amaziah son of Joash over Judah, Jeroboam son of Jehoash became king of Israel, and he reigned in Samaria forty-one years.","Ase omwaka o ikomi na gatano bw’okogaamba kw’Amasia, mosinto o Yoashi, omorwoti bw’Abayuda, Yeroboamu, mosinto o Yehoasi, omorwoti bw’Abaisraeli, agachaaka kogamba agwo Samaria; ere akagaamba emiaka emerongo ene nomo.","Katika mwaka wa kumi na tano wa utawala wa Amazia mwana wa Yoashi mfalme wa Yuda, Yeroboamu mwana wa Yehoashi mfalme wa Israeli alianza kutawala huko Samaria, naye akatawala kwa miaka arobaini na mmoja.",bible_ebible,29.0,29.0,34.0,,,
2KI 14:24,2KI,14.0,24.0,And he did evil in the sight of the LORD and did not turn away from all the sins that Jeroboam son of Nebat had caused Israel to commit.,"Agakora ayare amabe ase obosio bw’Omonene; teatananete korwa ase ebibe biria Yeroboamu, mosinto o Nebati, akorete akagera Abaisraeli bagakora ebibe.","Akafanya maovu machoni pa Bwana, na hakuacha dhambi hata moja ya Yeroboamu mwana wa Nebati, ambazo alikuwa amesababisha Israeli kuzitenda.",bible_ebible,29.0,20.0,20.0,,,
2KI 14:25,2KI,14.0,25.0,"This Jeroboam restored the boundary of Israel from Lebo-hamath to the Sea of the Arabah, according to the word that the LORD, the God of Israel, had spoken through His servant Jonah son of Amittai, the prophet from Gath-hepher.","Akairania orogongo rw’Abaisraeli korwa ase egesoero kia Hamati, goikera ase Enyancha ya Araba buna Omonene, Nyasae bw’Abaisraeli, ateebete goetera ase omosomba oye Yona mosinto bw’Amitai, omobani oria orwete Gati-Heferi.","Ndiye alirudishia mipaka ya Israeli kuanzia Lebo-Hamathi hadi Bahari ya Araba, sawasawa na neno la Bwana, Mungu wa Israeli, lililosemwa kupitia mtumishi wake Yona mwana wa Amitai, nabii kutoka Gath-Heferi.",bible_ebible,39.0,29.0,30.0,,,
2KI 14:26,2KI,14.0,26.0,"For the LORD saw that the affliction of the Israelites, both slave and free, was very bitter. There was no one to help Israel,","Omonene nigo aroche emechando y’Abaisraeli ng’a nemenene mono, ngochia koera bare bonsi, omosomba na oyo tari omosomba, naende monto onde tarenge ogokonya Abaisraeli.","Bwana alikuwa ameona jinsi kila mmoja katika Israeli, awe mtumwa au aliye huru, alivyoteseka kwa uchungu; hapakuwepo na yeyote wa kuwasaidia.",bible_ebible,24.0,23.0,21.0,,,
2KI 14:27,2KI,14.0,27.0,"and since the LORD had said that He would not blot out the name of Israel from under heaven, He saved them by the hand of Jeroboam son of Jehoash.","Korende Omonene konya tarateeba ng’a nasirie erieta ri’Abaisraeli korwa ase ense. Ase ayio akabatooria goetera ase okoboko kwa Yeroboamu, mosinto o Yehoasi.","Kwa kuwa Bwana alikuwa hajasema kuwa atafuta jina la Israeli chini ya mbingu, akawaokoa kwa mkono wa Yeroboamu mwana wa Yehoashi.",bible_ebible,30.0,22.0,21.0,,,
2KI 14:28,2KI,14.0,28.0,"As for the rest of the acts of Jeroboam, along with all his accomplishments and might, and how he waged war and recovered both Damascus and Hamath for Israel from Judah, are they not written in the Book of the Chronicles of the Kings of Israel?","Bono amang’ana ande onsi igoro ya Yeroboamu, na aya onsi akorete, na okobua kwaye, na buna arwanete, naende buna airanetie Damesiki na Hamati ase Abaisraeli, emechie konya yabeire ey’Abayuda, nigo ariikire ase Egetabu ki’ogokora kw’Abarwoti b’Abaisraeli.","Kwa matukio mengine ya utawala wa Yeroboamu, yote aliyoyafanya na mafanikio yake ya kijeshi, ikiwa ni pamoja na jinsi alivyorudisha Dameski na Hamathi kwa Israeli, ambayo ilikuwa mali ya Yuda, je, hayakuandikwa katika kitabu cha kumbukumbu za wafalme wa Israeli?",bible_ebible,46.0,36.0,40.0,,,
2KI 14:29,2KI,14.0,29.0,"And Jeroboam rested with his fathers, the kings of Israel. And his son Zechariah reigned in his place.","Yeroboamu akaraara ase chisokoro chiaye chiarenge abarwoti b’Abaisraeli chiararete. Na Zakaria, omwana oye omomura, akaba okogaamba ase ribaga riaye.","Yeroboamu akalala pamoja na baba zake, wafalme wa Israeli. Naye Zekaria mwanawe akawa mfalme baada yake.",bible_ebible,18.0,19.0,16.0,,,
2KI 14:3,2KI,14.0,3.0,"And he did what was right in the eyes of the LORD, but not as his father David had done. He did everything as his father Joash had done.","Amasia agakora ayare amaronge ase amaiso ’Omonene, korende nonya naboigo takorete buna Daudi, sokoro yaye, akorete. Nigo akorete onsi buna aya Yoashi ise akorete.","Akatenda yaliyo mema machoni pa Bwana, lakini sio kama Daudi baba yake alivyokuwa amefanya. Katika kila kitu alifuata mfano wa Yoashi baba yake.",bible_ebible,29.0,24.0,23.0,,,
2KI 14:4,2KI,14.0,4.0,"Nevertheless, the high places were not taken away, and the people continued sacrificing and burning incense on the high places.",Aase aimokererete igoro agosasimerwa agatiga kobao; abanto bakagenderera korua ebing’wanso na gosamba ubani igoro y’aase aria.,Hata hivyo mahali pa juu pa kuabudia hapakuondolewa. Watu waliendelea kutoa kafara na kufukiza uvumba huko.,bible_ebible,20.0,16.0,16.0,,,
2KI 14:5,2KI,14.0,5.0,"As soon as the kingdom was firmly in his grasp, Amaziah executed the servants who had murdered his father the king.",Ekero oborwoti bwaye bwabeete ne chinguru agaita abasomba baye baria baitete ise orenge omorwoti.,"Baada ya ufalme kuimarika mikononi mwake, aliwaua maafisa waliomuua mfalme baba yake.",bible_ebible,21.0,14.0,12.0,,,
2KI 14:6,2KI,14.0,6.0,"Yet he did not put the sons of the murderers to death, but acted according to what is written in the Book of the Law of Moses, where the LORD commanded: “Fathers must not be put to death for their children, and children must not be put to death for their fathers; each is to die for his own sin.”","Korende taitete abana b’abaiti baria. Agakora koreng’ana namang’ana ariikire ase Egetabu ki’Amachiko a Musa ase Omonene achiigete: “Abaibori tibagoitwa ase engencho y’ebibe bi’abana babo, gose abana tibagoitwa ase engencho y’ebibe bi’abaibori babo; korende kera omonto nigo arakwe ase ebibe biaye omonyene.”","Hata hivyo, hakuwaua wana wa wale wauaji, sawasawa na ilivyoandikwa katika Kitabu cha Sheria ya Mose ambako Bwana aliamuru, “Baba hawatauawa kwa ajili ya watoto wao, wala watoto kwa ajili ya baba zao. Kila mmoja atakufa kwa ajili ya dhambi zake mwenyewe.”",bible_ebible,60.0,41.0,42.0,,,
2KI 14:7,2KI,14.0,7.0,"Amaziah struck down 10,000 Edomites in the Valley of Salt. He took Sela in battle and called it Joktheel, which is its name to this very day. Jehoash Defeats Amaziah (2 Chronicles 25:17–24)","Amasia agaita Abaedomu chilifu ikomi agwo ase Riranya ri’enyancha y’omonyoo; akaira omochie o Sela ase okorwana esegi, akayoroka Yokiteli; naboigo okorokwa goika reero iga.","Ndiye aliwashinda Waedomu elfu kumi katika Bonde la Chumvi, na akauteka Sela katika vita, naye akauita Yoktheeli, jina ambalo mji huo unalo hadi leo.",bible_ebible,33.0,24.0,24.0,,,
2KI 14:8,2KI,14.0,8.0,"Then Amaziah sent messengers to the king of Israel Jehoash son of Jehoahaz, the son of Jehu. “Come, let us meet face to face,” he said.","Erio Amasia agatoma abanto ase Yehoasi, omorwoti bw’Abaisraeli, oyorenge omwana o Yehoahasi, mosinto o Yehu, agateeba, “Inchuo torigereranie obosio ase obosio!”","Kisha Amazia akatuma wajumbe kwa Yehoashi mwana wa Yehoahazi, mwana wa Yehu, mfalme wa Israeli, akisema, “Njoo, tuonane uso kwa uso.”",bible_ebible,26.0,21.0,21.0,,,
2KI 14:9,2KI,14.0,9.0,"But Jehoash king of Israel replied to Amaziah king of Judah: “A thistle in Lebanon sent a message to a cedar in Lebanon, saying, ‘Give your daughter to my son in marriage.’ Then a wild beast in Lebanon came along and trampled the thistle.","Na Yehoasi, omorwoti bw’Abaisraeli, agatoma amang’ana ase Amasia, omorwoti bw’Abayuda, akamoteebia: “Rigeri erimo ria Lebanoni rigatoma amang’ana ase omocharake ore Lebanoni, rigateeba: Ing’a omoiseke oo, omwana one omomura amonyuome. Erio eng’iti y’orosana ya Lebanoni egaeta aase agwo egatiringera inse rigeri riria.","Lakini Yehoashi mfalme wa Israeli akamjibu Amazia mfalme wa Yuda: “Mbaruti uliokuwa Lebanoni ulituma ujumbe kwa mwerezi uliokuwa Lebanoni, ‘Mtoe binti yako aolewe na mwanangu.’ Kisha mnyama wa mwituni aliyekuwa Lebanoni akaja na kuukanyaga ule mbaruti.",bible_ebible,44.0,41.0,36.0,,,
